numunique,time
3,0.035457
9,0.050926
13,0.06378
12,0.061386
9,0.045836
21,0.083346
8,0.050755
13,0.062427
12,0.059732
12,0.05874
7,0.045526
5,0.040336
13,0.0643
10,0.052779
18,0.075572
14,0.065543
18,0.073929
4,0.035446
28,0.099036
13,0.063178
23,0.086041
19,0.078647
19,0.078808
16,0.072876
16,0.069761
4,0.039514
10,0.054973
28,0.100399
12,0.059963
7,0.045876
3,0.035085
15,0.058219
9,0.053511
4,0.037149
4,0.036298
1,0.029635
20,0.062327
6,0.038993
7,0.040726
2,0.033022
6,0.038934
4,0.035547
9,0.051036
2,0.032892
1,0.030878
23,0.068759
8,0.04286
1,0.029996
1,0.030207
2,0.03182
1,0.030838
1,0.030888
7,0.040135
4,0.035136
15,0.055674
1,0.029756
3,0.035266
3,0.036568
226,0.631465
177,0.494799
59,0.193464
251,0.685938
351,0.940726
158,0.438674
268,0.717397
395,1.05732
126,0.366118
50,0.163617
87,0.263405
71,0.21302
28,0.104085
29,0.107031
68,0.209233
29,0.101551
15,0.067888
30,0.108174
4,0.036729
5,0.043271
11,0.04784
11,0.048181
7,0.047269
23,0.06932
4,0.037861
9,0.044613
14,0.053691
19,0.063048
3,0.035286
12,0.060122
1,0.030548
10,0.05334
37,0.125546
17,0.073618
29,0.108714
28,0.102853
95,0.275316
61,0.185037
102,0.291948
156,0.424017
193,0.5167
145,0.403227
101,0.286217
66,0.205717
79,0.233688
93,0.277221
66,0.200386
27,0.098805
15,0.066204
21,0.082515
4,0.040186
3,0.035727
6,0.042891
6,0.046427
3,0.035066
7,0.0426
3,0.033263
3,0.03724
13,0.05294
29,0.100909
42,0.145312
27,0.099217
51,0.164829
71,0.213801
54,0.173656
56,0.182372
51,0.164269
29,0.103094
14,0.067517
35,0.121108
55,0.171322
28,0.104356
41,0.140834
78,0.23458
106,0.306986
81,0.241614
72,0.221285
134,0.387077
96,0.279725
90,0.266671
37,0.125706
42,0.139332
21,0.087364
26,0.095859
19,0.078106
28,0.102282
20,0.07962
32,0.109716
18,0.073137
13,0.061325
5,0.040306
10,0.057128
6,0.041438
8,0.04792
9,0.049463
4,0.03728
127,0.346882
89,0.251663
25,0.09094
96,0.263405
66,0.194525
48,0.153408
21,0.084258
74,0.222929
10,0.055945
32,0.113232
58,0.179718
40,0.136806
58,0.179467
140,0.391034
115,0.33017
262,0.694164
380,0.998555
378,0.989318
215,0.583665
205,0.691118
190,0.525336
188,0.5274
217,0.593114
257,0.693993
63,0.193413
106,0.302178
106,0.312908
58,0.182663
68,0.206267
37,0.127209
20,0.083106
33,0.116809
